Table Name,Status,Action
tender_history,Not in Unified Manager,REVIEW / ADD TO UNIFIED
tender_lots,Not in Unified Manager,REVIEW / ADD TO UNIFIED
tender_milestones,Not in Unified Manager,REVIEW / ADD TO UNIFIED
tender_notifications,Not in Unified Manager,REVIEW / ADD TO UNIFIED
tender_response_template,Not in Unified Manager,REVIEW / ADD TO UNIFIED
tender_state_history,Not in Unified Manager,REVIEW / ADD TO UNIFIED
tender_team_assignments,Not in Unified Manager,REVIEW / ADD TO UNIFIED
tender_versions,Not in Unified Manager,REVIEW / ADD TO UNIFIED
tenders,Not in Unified Manager,REVIEW / ADD TO UNIFIED
tenders_boq_meta,Not in Unified Manager,REVIEW / ADD TO UNIFIED
test,Not in Unified Manager,REVIEW / ADD TO UNIFIED
test2,Not in Unified Manager,REVIEW / ADD TO UNIFIED
test_schema,Not in Unified Manager,REVIEW / ADD TO UNIFIED
testtable,Not in Unified Manager,REVIEW / ADD TO UNIFIED
tin_certificate,Not in Unified Manager,REVIEW / ADD TO UNIFIED
to,Not in Unified Manager,REVIEW / ADD TO UNIFIED
traces,Not in Unified Manager,REVIEW / ADD TO UNIFIED
trade_license,Not in Unified Manager,REVIEW / ADD TO UNIFIED
transactiontest,Not in Unified Manager,REVIEW / ADD TO UNIFIED
ts_test,Not in Unified Manager,REVIEW / ADD TO UNIFIED
tutorial_progress,Not in Unified Manager,REVIEW / ADD TO UNIFIED
u,Not in Unified Manager,REVIEW / ADD TO UNIFIED
user_activity,Not in Unified Manager,REVIEW / ADD TO UNIFIED
user_activity_logs,Not in Unified Manager,REVIEW / ADD TO UNIFIED
user_otps,Not in Unified Manager,REVIEW / ADD TO UNIFIED
user_permissions,Not in Unified Manager,REVIEW / ADD TO UNIFIED
user_sessions,Not in Unified Manager,REVIEW / ADD TO UNIFIED
user_social_accounts,Not in Unified Manager,REVIEW / ADD TO UNIFIED
user_two_factor,Not in Unified Manager,REVIEW / ADD TO UNIFIED
users,Not in Unified Manager,REVIEW / ADD TO UNIFIED
vat_registration,Not in Unified Manager,REVIEW / ADD TO UNIFIED
vector_embeddings,Not in Unified Manager,REVIEW / ADD TO UNIFIED
version_change_log,Not in Unified Manager,REVIEW / ADD TO UNIFIED
was,Not in Unified Manager,REVIEW / ADD TO UNIFIED
will,Not in Unified Manager,REVIEW / ADD TO UNIFIED
win_rate_by_category,Not in Unified Manager,REVIEW / ADD TO UNIFIED
with,Not in Unified Manager,REVIEW / ADD TO UNIFIED
without,Not in Unified Manager,REVIEW / ADD TO UNIFIED
work_program,Not in Unified Manager,REVIEW / ADD TO UNIFIED
workflow_definitions,Not in Unified Manager,REVIEW / ADD TO UNIFIED
workflow_instances,Not in Unified Manager,REVIEW / ADD TO UNIFIED
x,Not in Unified Manager,REVIEW / ADD TO UNIFIED
